"ProbeID","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","diffexpressed"
"219787_s_at",2.65603275411695,6.61268535073232,8.59517214842577,2.47849738735479e-15,7.3166582603031e-13,24.3077505399353,"ECT2","UP"
"202366_at",-1.3789382339224,7.57613590639899,-8.56709509489156,2.96136542879286e-15,8.64861230816387e-13,24.1346633646461,"ACADS","DOWN"
"214220_s_at",1.18545178395519,6.28334027369192,8.55304044687007,3.23703132785786e-15,9.40340382490964e-13,24.0481158741208,"ALMS1","UP"
"200857_s_at",-1.46470609860437,7.85774465815657,-8.55199167896468,3.2585939819178e-15,9.41595730870247e-13,24.041660202588,"NCOR1","DOWN"
"205449_at",1.49632761777924,7.80609359038384,8.5492645432229,3.31533309310103e-15,9.52948874808035e-13,24.0248750384303,"SAC3D1","UP"
"203477_at",3.64885911998688,7.09267646124242,8.53985176719816,3.51880297660873e-15,1.00613815163106e-12,23.9669591827918,"COL15A1","UP"
"229538_s_at",2.0716877699082,5.84345131066667,8.53368710466274,3.65872411827356e-15,1.04069739724622e-12,23.929044255562,"IQGAP3","UP"
"201584_s_at",1.55579188874317,8.93637992920202,8.52889982481927,3.77117712106288e-15,1.06712588659382e-12,23.899609276878,"DDX39A","UP"
"200787_s_at",1.70038277669836,8.11137913974243,8.52744648013192,3.80598962473807e-15,1.07142531637021e-12,23.8906747483857,"PEA15","UP"
"217946_s_at",1.44513924550491,8.59818718816667,8.51312239786119,4.16661587024556e-15,1.16097649245776e-12,23.8026534747837,"SAE1","UP"
"212737_at",1.34688575658689,9.16511567904545,8.50896668718643,4.27744441732018e-15,1.18310430442328e-12,23.7771292659271,"GM2A","UP"
"218968_s_at",1.0638189564776,7.8592149464899,8.50852637770659,4.28935697134032e-15,1.18310430442328e-12,23.7744252345494,"ZFP64","UP"
"208370_s_at",-2.22608570800437,9.17415819559596,-8.50163467900044,4.48015743539467e-15,1.22337419009605e-12,23.7321101853315,"RCAN1","DOWN"
"202579_x_at",1.16332562978907,8.8586612554596,8.49463881774049,4.6824499092122e-15,1.27225192483486e-12,23.6891715469295,"HMGN4","UP"
"212724_at",-2.32286458727103,9.33063603687374,-8.49191208740011,4.76372699272702e-15,1.28792783293961e-12,23.6724400033471,"RND3","DOWN"
"200783_s_at",1.83583412028525,7.14228605543939,8.46596058094898,5.61079708717833e-15,1.50207088883368e-12,23.5133213644779,"STMN1","UP"
"226936_at",2.33752744447432,7.33356474541414,8.4401824468351,6.59981702248465e-15,1.75822344901929e-12,23.3554870446852,"CENPW","UP"
"205913_at",-2.05768083517705,6.81479676671212,-8.43605545848339,6.77346648784775e-15,1.79572488010111e-12,23.3302389123688,"PLIN1","DOWN"
"223538_at",1.62179636395628,8.13482366438384,8.41595968090134,7.6859527952798e-15,2.0083872727685e-12,23.2073783117594,"SERF1A","UP"
