"ProbeID","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","diffexpressed"
"204162_at",3.00095958682951,6.13878090798485,8.71360586473444,1.16658778662514e-15,3.83800354162402e-13,25.0406180953995,"NDC80","UP"
"226287_at",2.07371147645792,6.86487472791414,8.71067454253179,1.18861329302116e-15,3.88705016597394e-13,25.022426000874,"CCDC34","UP"
"227109_at",1.31057393541202,7.42446352608081,8.70950700373756,1.19750048093791e-15,3.89280320032513e-13,25.0151808743295,"CYP2R1","UP"
"215253_s_at",-1.91643501486011,6.86500940942929,-8.70204771429754,1.25585700674456e-15,4.05835021948762e-13,24.9689024719064,"RCAN1","DOWN"
"244562_s_at",-3.21925012190491,6.33786473695455,-8.67738445591081,1.46964189744923e-15,4.72126782031735e-13,24.8160118055323,NA,"DOWN"
"210589_s_at",1.59193064788634,8.82709547916162,8.67497565243249,1.49236487999202e-15,4.76622942637451e-13,24.8010895173053,"GBA1LP","UP"
"218350_s_at",2.28017664673224,9.3855562670101,8.66140277191491,1.62707319732469e-15,5.13637852748517e-13,24.7170409520201,"GMNN","UP"
"1558603_at",-2.32636147443278,5.12684666893939,-8.65755494318901,1.66741094692836e-15,5.23346632440223e-13,24.6932242308782,"PLGLB2","DOWN"
"209160_at",1.80373825796721,12.5052840802424,8.65487298877527,1.69611185153939e-15,5.29312894560691e-13,24.6766266232948,"AKR1C3","UP"
"212659_s_at",-1.51592259070273,7.09752076167172,-8.64220981116434,1.83838789719898e-15,5.70453853578e-13,24.5982896258554,"IL1RN","DOWN"
"220491_at",-5.14738422557923,7.81546383084343,-8.63318923391708,1.94689970995995e-15,5.9400018916225e-13,24.5425174167496,"HAMP","DOWN"
"201930_at",2.11374216575519,8.93325307076768,8.61900865656996,2.13046577085011e-15,6.46395150796872e-13,24.4548942644374,"MCM6","UP"
"213194_at",3.82043245294426,9.32370173236364,8.61092113944574,2.24274293510448e-15,6.76701214999231e-13,24.4049493642364,"ROBO1","UP"
"57163_at",1.16358260504372,8.38449775435859,8.60894275266937,2.27109033506102e-15,6.81489321256525e-13,24.3927349042627,"ELOVL1","UP"
"201656_at",1.73017866168087,8.32609935244444,8.60303814713374,2.35782563565505e-15,7.03649898579395e-13,24.3562875994575,"ITGA6","UP"
"214710_s_at",3.03454895421967,7.2393947385303,8.59788130374244,2.436260132509e-15,7.23105840308229e-13,24.3244651173376,"CCNB1","UP"
